Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Shohei Ohtani,LAA,158,537,639,138,58,26,8,46,318,151.07,103,100,96,20,189,4,2,0,7,26,10,0.257,0.372,0.592,0.965,0.544,0.964,15.00%,29.60%,152,0.393,5.1,19755
George Springer,TOR,78,299,342,79,37,19,1,22,166,71.05,59,50,37,1,79,4,1,0,6,4,1,0.264,0.352,0.555,0.907,0.425,0.907,10.80%,23.10%,140,0.381,2.4,12856
Giancarlo Stanton,NYY,139,510,579,139,85,19,0,35,263,109.33,64,97,63,1,157,3,3,0,22,0,0,0.273,0.354,0.516,0.87,0.367,0.87,10.90%,27.10%,137,0.37,2.6,4949
Yordan Alvarez,HOU,144,537,598,149,80,35,1,33,285,112.52,92,104,50,3,145,8,3,0,16,1,0,0.277,0.346,0.531,0.877,0.348,0.877,8.40%,24.20%,138,0.369,3.7,19556
J.D. Martinez,BOS,148,570,634,163,90,42,3,28,295,118.18,92,99,55,6,150,3,5,0,18,0,0,0.286,0.349,0.518,0.867,0.328,0.869,8.70%,23.70%,128,0.364,2.9,6184
Franmil Reyes,CLE,115,418,466,106,56,18,2,30,218,80.82,57,85,43,3,149,2,3,0,13,4,1,0.254,0.324,0.522,0.846,0.378,0.851,9.20%,32.00%,125,0.354,1.3,14566
Josh Donaldson,MIN,135,457,543,113,61,26,0,26,217,99.21,73,72,74,2,114,4,8,0,22,0,0,0.247,0.352,0.475,0.827,0.389,0.838,13.60%,21.00%,124,0.353,2.2,5038
Nelson Cruz,- - -,140,513,584,136,82,21,1,32,255,101.63,79,86,51,10,126,7,9,0,14,3,0,0.265,0.334,0.497,0.832,0.337,0.843,8.70%,21.60%,122,0.346,2,2434
Ryan Mountcastle,BAL,144,534,586,136,79,23,1,33,260,90.42,77,89,41,2,161,4,7,0,12,4,3,0.255,0.309,0.487,0.796,0.311,0.804,7.00%,27.50%,111,0.335,1.4,18373
Austin Meadows,TBR,142,518,591,121,62,29,3,27,237,96.96,79,106,59,3,122,6,8,0,4,4,3,0.234,0.315,0.458,0.772,0.34,0.785,10.00%,20.60%,113,0.327,2,15672
Trey Mancini,BAL,147,556,616,142,87,33,1,21,240,90.5,77,71,51,4,143,8,1,0,19,0,0,0.255,0.326,0.432,0.758,0.268,0.765,8.30%,23.20%,105,0.326,0.6,15149
Jorge Soler,- - -,149,516,602,115,61,27,0,27,223,93.03,74,70,67,0,142,6,5,0,12,0,0,0.223,0.316,0.432,0.749,0.339,0.762,11.10%,23.60%,101,0.323,-0.2,14221
Eloy Jimenez,CHW,55,213,231,53,33,10,0,10,93,30.71,23,37,16,0,57,1,1,0,8,0,0,0.249,0.303,0.437,0.74,0.263,0.747,6.90%,24.70%,101,0.317,0.2,17484
Jed Lowrie,OAK,139,457,512,112,70,28,0,14,182,75.08,55,69,49,1,108,2,4,0,8,0,0,0.245,0.318,0.398,0.717,0.26,0.731,9.60%,21.10%,100,0.311,0.9,4418
Luis Torrens,SEA,108,346,378,84,51,16,2,15,149,52.02,39,47,28,1,99,1,3,0,8,0,0,0.243,0.299,0.431,0.73,0.269,0.739,7.40%,26.20%,101,0.311,0.3,15905
Miguel Cabrera,DET,130,472,526,121,90,16,0,15,182,66.9,48,75,40,0,118,5,9,0,21,0,0,0.256,0.316,0.386,0.701,0.214,0.721,7.60%,22.40%,92,0.305,-0.7,1744
Willie Calhoun,TEX,75,260,284,65,46,10,3,6,99,35.77,26,25,21,0,34,2,1,0,6,0,2,0.25,0.31,0.381,0.691,0.204,0.698,7.40%,12.00%,91,0.301,-0.6,17838
Mitch Moreland,OAK,81,229,252,52,30,11,1,10,95,32.22,28,30,18,0,58,2,3,0,5,0,0,0.227,0.286,0.415,0.701,0.266,0.714,7.10%,23.00%,93,0.3,-0.2,3086
Ryan O'Hearn,KCR,84,236,254,53,38,5,1,9,87,25.67,23,29,13,0,71,2,3,0,7,0,0,0.225,0.268,0.369,0.636,0.199,0.652,5.10%,28.00%,70,0.274,-0.7,16442
David Dahl,TEX,63,205,220,43,28,11,0,4,66,18.72,19,18,10,0,59,1,3,1,3,2,1,0.21,0.247,0.322,0.569,0.166,0.593,4.50%,26.80%,54,0.246,-0.8,13744
